text,date,lang,link,likes_count,comments_count,word_count
"Hi David thanks for going back. Please do a report on the animal abandonment and abuse in PR all over PR you will see these poor animals. This needs to be told these animals need help. Ppl want to help but don't know where to go. The agencies that are trying to help also need help with funds and adequate space. The abuse from PREPA with sending high bills when they've been without service for months. My mom only had power for 3 days and received a bill of almost $90.00 with 5 months without power and this has happened  to many ppl. Have a nice trip. Also check Humacao, Yabucoa forgotten, Patillas areas close by where the Hurricane made 1st contact these areas are still in bad condition. Check Utuado and areas close by in bad condition and Vieques.",3/17/2018,en,No,25,4,140
places where help is much needed .. villa calma in toa baja... manuabo... yabucoa.... morovis .orocovis... gurabo..... quebradillas has no water ... amongst many other locations ... these are places I know and personally speak to the community leaders there ... mayaguez is one place where in rl pueblo and around it.. it is normal but if you go up in the mountains ... no water or power since Irma,3/17/2018,en,No,23,6,70
"With Hurricane Season soon approaching, what plans are in place to protect and save these people and the island?? Appreciate your passion and taking action for them.  A concerned Floridian where here on the Treasure Coast there is still damage from Irma....Yet nothing compared to our brothers and sisters of Puerto Rico! ��",3/17/2018,en,No,23,1,53
"I just returned from Puerto Rico last week. You need to go I to the
mountain areas away from the
metropolitan area of San Juan. The metro area is functioning well.",3/17/2018,en,No,21,4,29
David one of the things that really bothered me was the fact that companies that are going  there to help are are hiring and bringing people with no experience to the island instead of hiring people in Puerto Rico and allowing those people who live there to make and keep the money in Puerto Rico which will help with stimulating the economy can you please look into that,3/17/2018,en,No,20,0,68
We need to find a way how to  convince Congress to lift the Jones Act my name is Emilio Roman I live in the state of Florida. The ongoing problems with the electrical system in Puerto Rico is outrageous.,3/17/2018,en,No,18,3,39
"Yabucoa. Barrio Jacanas where my family lives. Expose the blatant corruption of government officials (especially outrageous salary of Secretary of Education) and PROMESA. Most important the need to eliminate the Cabotage Law that reaps billions out of Puerto Rico's economy, thousands of jobs that Puerto Rico losses out on because of this, the lack of assistance from other countries because of this outrageous law in effect since 1920. Our organization, Misión Boricua has organized several events to educate the community about this abuse. We have a fb page (Mision Boricua) and website #misionboricua.net.   Bo'matum (Thank you in our native Taino language.",3/17/2018,en,No,18,1,101
"Metro is more or less fine, however roads are horrendous. But, 
Yabucoa and up in the mountains should be revisited",3/17/2018,en,No,17,0,20
"Come back to Aguadilla and Isabela David Begnaud ...you’ll find both hope and despair....that’s the case all over the island....small businesses are the hardest hit...there were many that just couldn’t come back from the financial crisis of being out of business for so long...

The one thing that has stayed the same is the resilience of our people...��������",3/17/2018,en,No,17,0,57
"I know this is NOT what David needs for this trip but I would like all the celebrities who have donated millions (JLo, Mark Anthony, Daddy Yankee, et al) to ask for accountability of their donations, to inquire and investigate exactly where and how their money was used.",3/17/2018,en,No,16,0,48
So excited that you are going back. My husband just returned and he said Humacao is a mess. Poles and wires are still down n those ppl have been without electricity for 6 months however Palma del Mal is 10 minutes away from our family house n they have power. So please go there. That whole town has not had power restore now going on 6 months.,3/17/2018,en,No,15,1,67
"West side of the island in Aguadilla and Rincon, things are almost back to normal with festivities during the weekend, but due to the high winds and waves from a few weeks, the coastal areas were damaged again. Crash boat was destroyed a few days before the celebration of its recovery. There is going to be a surf contest held in Rincon which should be able to show the general spirit of the young puerto rican crowd.",3/17/2018,en,No,15,1,77
Hello i worked with Fluor and we know for a fact that about 30 to 40% still without power. There are a lot of issues with the electricity in Puerto Rico and even more in the corruption. The Island of Vieques will spend the next couple of years without power and using generators for electricity. People up in the mountains probably wont get the service restore cause is to expensive once the service privatized and the USACE made a lot of mistakes ordering the wrong equipment and cable for the emergency.,3/17/2018,en,No,15,0,91
"Thank you, Mr. Begnaud for keeping Puerto Rico and the disaster of the hurricane relevant and in the news 6 months later. I for one applaud your efforts to help keep the spotlight on the challenges those on the island are still facing.",3/17/2018,en,No,13,0,43
You should go to inspect the cable that connects Vieques to Puerto Rico. The cable has been damaged and they say it will take 1 to 2 years to repair. Vieques will be the last place in the Caribbean to receive real power-not from generators.,3/17/2018,en,No,13,2,45
Yabucoa! Hurricane Maria went right thru the middle of it & total devastation! Just 2 days ago some of the people started getting power & it comes & goes! Same thing with water! They are not even mentioned on any news or radio! God bless you & Thank you for caring so much for our island! ��❤,3/17/2018,en,No,13,1,57
David Begnaud I would definitely report on the corruption of overcharging of customers for WATER AND POWER. This has been a long term abuse but after the hurricane completely sky rocketed to an unbelievable level impacting the folks of Puerto Rico.  My Momma included she is a Senior and those bastards from the Water Authority wanting to charge her over 700 dollars in water when she has always paid on time and never more than 30 dollars!,3/17/2018,en,No,13,3,77
"Toa  Alta, Naranjito, Barranquitas , Adjuntas, Comerio, Yabucoa, Bayamon campo, Peñuelas, Isabella and more . People inside the island still without power and water. You can see the reality of the island see the reality what is happening on the island . People who live far from the city.",3/17/2018,en,No,12,0,49
"Need to report on our animals, dogs and cats etc. that have suffered so much and continue with not enough money to save them! Theresa Renée Eléna Delgado-Tossas would state.",3/17/2018,en,No,11,1,30
"We might want to ask why the government has not helped. Also, why is crowdfunding so readily used instead of our tax dollars that we all work so very hard to pay? Instead of fixing infrastructure and making us whole we are being raped by the government, while San Juan advertises comic cons and block chain events and new cruise ships, Vieques cannot get healthy food delivered due to the ferry system which has been disreputable and unreliable for years. Why is there very little family farming and why is there so little education in Vieques? Why is this that the US can afford a billion dollar embassy in London, but we cannot fix our beautiful Puerto Rico- what’s behind this? Is it the G word? It certainly looks like that in some municipios. 
Liz Zivic Ivette Amalia Perez Pagan",3/17/2018,en,No,11,1,140
"David, THANK YOU for your ongoing work!  Your investigative reporting with a heart is truly exemplary.  Here’s a suggestion on the “what’s working” side — the extraordinary young people of Hunger Corp. are doing amazing things in two specific areas: 1) housing and 2) agriculture. These folks have given themselves fully to the task of restoring lives on the island—and are in it for the long haul.  One of the leaders of the group, Steven Feliciano, is an inspiration—he and his family have been without power since Irma, but you wouldn’t know it because there’s never a word of complaint from his mouth.  Steven and his army of volunteers are, without a doubt, bringing hope to an otherwise hopeless situation.  DEFINITELY worth contacting him!  Safe travels my friend.",3/17/2018,en,No,10,0,128
"David, please go to where my sister and the rest of my family live, they still have no electricity.  They live in Dorado, Sector Martell, Maguayo.  Thank you so much!!! You are the light in that tunnel for the people in Puerto Rico.  God Bless you always.",3/17/2018,en,No,10,0,47
"You must go to carretera 155, km 16.7, Barrio Bernejales, curse de las cuchillas, OROCOVIS.  To date, no one person including the Mayor has been to this area.  They’re still in the dark and the unfortunate people who have serious illnesses feel abandoned.  Please help them.",3/17/2018,en,No,9,4,46
"You're the best. You let us know the real deal. Thank you for being our eyes and our voice. You are loved by many Puerto Ricans. Hope when you are there, you will be able to show us all the improvements that have been made in our Shining Star of the Caribbean ����",3/17/2018,en,No,9,0,53
Please let me know. I can help you with Utuado.  Also I can take you to the right people to gather facts.,3/17/2018,en,No,8,2,22
"Please, go to Yabucoa, the town where Maria made landfall. Only 12% of people there have electricity. My parents live in the mountains of Yabucoa, in the neighborhood of Jacanas Piedra Blanca, sector Los Sepulveda.  Lots of poles and electric cables still leaning over houses. Lots of destroyed homes. So many elderly people there living under really hard conditions. And this is just one little part of the many. Talk to the major of Yabucoa. He will tell you of their efforts to try to maintain the only hospital in that area running and all the challenges they are having daily, using generators now for over 6 months. Also the only grocery store in town, Ralph's warehouse has been running on generators. Very limited variety and quantity of food, and what's available is so expensive that people can hardly afford to buy food. Thank you!",3/17/2018,en,No,7,2,145
"***Thank you, and your team, for all that you have done, and keep doing. Thank you for loving Puerto Rico***

Given the lack of time available,  my recommendation is to follow the eye trajectory.

1) start with the Yabucoa/Humacao area (landfall). 

2) Caguas area (near-by country area)

3) San Juan/Metro area (please visit Cataño, they will be glad to see you again). 

4) Arecibo/Barceloneta area (exit point). 

Once again, thank you!!!",3/17/2018,en,No,7,1,68
"Go to the center of the island like this municipalities: Morovis, Orocovis, Utuado, Jayuya. The problem persist in areas there's lot of mountains. 

Also, you can research and collect data from people in interviews about the progress in restore the power between PREPA's employees and northamericans companies. How was the logistic, scenarios etc. It's time to document the experiences of the ""rebuilding"", effect and show how many lies the goverment told to media during this period ��.

I appreciate and respect your job! ✊��",3/17/2018,en,No,7,0,83
Life in the metro area is pretty much back to normal in spite of the very few traffic lights that are working. There are plenty of municipalities that have been forgotten but you need to move away from San Juan in order to get visibility of that; a thing the government hasn’t really been doing.,3/17/2018,en,No,6,0,55
I sent Tony Cavin video from Punta Santiago there’s a church feeding  people. GVT is nowhere to be seen. Utuado is also in bad shape and areas of Arecibo are without electricity I have family there if you want/need more info. In Arecibo the area is Barrio Islote ...as of today 180 without electricity... Arecibo is a coastal town on the North side of the island,3/17/2018,en,No,6,1,66
I've taken my mother and my sister out of Puerto Rico only to find out that they were treated as secondary citizens in the u.s. issues with Medicaid education and so forth have been frowned upon when mentioning that they came from Puerto Rico and need all the help they can get.,3/17/2018,en,No,6,3,52
"Go to the mountains at the Municipalities Of: Morovis, Comerio, Gripiña Ward at Jayuya, Utuado,  and visit the coast at Yabucoa (east side of the Island).",3/17/2018,en,No,6,1,26
Corruption... Not only at local level.. but federal as well.. ¿where are the funds for these six figures contracts coming from?.. remind people we have an appointed fiscal board .. not voted by us.. colonial laws with open ample space for curruption,3/17/2018,en,No,6,0,42
"Yabucoa the clock stopped six months ago, they continue to live without power, they are the most humble people you will ever meet. Please go they need the attention you can give them for them to get power restored.",3/17/2018,en,No,6,0,39
Could you please say islandS plural? Nobody ever remembers Vieques or Culebra. Vieques is worse due to the horrible ferry service and the political corruption. It is a tale of two cities. I have a lot of footage from a documentary I shot in January. I also live in New Orleans and in Vieques. Thank you.,3/17/2018,en,No,6,0,56
"David, thank you for your planned return visit to Puerto Rico.  Although I do not know the length of your intended stay, I would recommend that if you do have a deadline, you visit the devastated areas first. If you can return on another trip, then go specifically to inquire about this incapable government administration and the whereabouts of the money donated for the victims and the island. It is incongruous that the actual assistance provided has been so limited.  

I have a cousin who went to the island and met with members of Salvation Army, with a truck and they personally delivered water and food to area victims throughout the island.

Although I live on the mainland in New Jersey, I am constantly trying to keep abreast of information and improvements on the island. I have family there and am very concerned for them. 

We lost two elderly family members during this period, my aunt had cancer and without electric it was difficult to keep her comfortable and worry free, since she was very aware of the lack of bare necessities in our town of San Lorenzo. She passed away barely four weeks ago. 
My uncle, a war veteran, was also already ill and bedridden. Without electricity he did not have use of breathing machine or mechanical harness to move him in or out of bed, until until my 94 year old aunt, his wife, who also has cancer, purchased a generator. She and family members tried keeping him stable and air conditioned but, his illness worsened and finally he was transported to Veterans Hospital where he died. Once the electricity came on in sections of the town, the same aunt was still without electric due to a generator that was literally one block away from her home, which controlled a square two block area. She finally got electric about two weeks ago. However, the mountain areas in San Lorenzo are still without electric. 
I am also aware of lack of basics in Cidra, Yauco, Sabana Grande and Yabucoa.
I appreciate all the investigative reporting you conducted during your earlier visit. I thank you and I ask God to bless you for your interest in our island.",3/17/2018,en,No,6,1,366
"A big thank you to all the linemen (and women) from all those power companies in the states who came to help us, leaving their homes and families in our time of need. I’m 100% sure we wouldn’t even be where we are right now without them. Gracias! ⚡️����‍♂️����‍♂️����‍♂️����‍♂️❤️����",3/17/2018,en,No,6,0,49
Need to go to Yabucoa is still in bad shape,3/17/2018,en,No,5,0,10
Go to the east coast: Humacao Yabucoa...,3/17/2018,en,No,5,0,7
You should go to the towns of Comerio and Utuado.  Comerio has probably most of her people without power and water. Im living out of Puerto Rico and Im from Cidra so Im not asking for my family. Please go there.,3/17/2018,en,No,5,0,41
"Go to Yabucoa where they have one of the biggest port  in the island, (where they receive diesel gasoline and jet fuel) but is little the help that they have received. The communities still without power and some without water",3/17/2018,en,No,5,0,40
"David-  don’t ever bother going to San Juan, they are almost back on track. Go to the center, Barranquitas, Orocovis, Morovis.  See how people who lost the house and got little money from FEMA are doing.",3/17/2018,en,No,5,1,36
"Hi. I invite you to my home in San Juan PR with my 3 months old kid where since December 12 things got back to normal (thats the date we got power service back) and I can show you my parents house and comunnitty in Barrio San Salvador in Caguas (near the radar doopler that was destroyed during the hurricane) and you can see how the time just stopped there. Since the hurricane they dont have power, even there is a lady with oxigen that his son had to install a solar system to keep her oxygen machine on. My whole family and parents live in that comunitty. Each month my parents took a picture of the power generator with my baby stickers counting each month they dont have power. Your team can contact me and I invite you to my home and my parents home. I want to let you see the reality we are living, saddly.",3/17/2018,en,No,5,0,158
"¡Welcome back! The whole FEMA contract pattern is a skim, there is an Industry of Disaster built around FEMA ready to get profit of any disaster. That is why you have seen and continue seeing all this strange contracts...it should not be only for Puerto Rico, I am sure if you dig some more you will see the same pattern in all the recent disasters...",3/17/2018,en,No,5,0,65
"PLEASE go to east side, luquillo, fajardo, humaco, cieba, vieques, culebra, Las croabas in farjardo, the beaches. How are they. Do they still have power and water. Last I heard these places still didn't.  The rainforest, el yunque. Good luck and thank you for all you do.",3/17/2018,en,No,5,1,47
"David- would love to share just 2 of the 35 hours you’re available. Accurate, on point, emotional, yet realistic. Yabucao, Naguabo, Comerio are just a few municipalities that are still in dire need. I am willing to stop everything to be able to show exactly where we need to visit (communities) and how we can continue to help, yet empower them. Please allow me this opportunity. Look forward to working with you. I haven’t left the island in over 5-years, and wouldn’t dare leave post Maria.",3/17/2018,en,No,5,1,86
"#Vieques is a small island off the southeast coast of Puerto Rico. We are also Puerto Rico. There is much unrest and corruption in politics. There is so much of a story here. So much. And you won’t see it being attacked by resident fans of yours. You will need guidance and you need to get in touch with Ivette Amalia Perez Pagan, Lisa Young, Moses West, Gypsy I. Cordova PLEASE. Please tell our story. 
I shot a documentary in January but it won’t be out of editing until April or early May. But I have footage and can share some pertinent information. You have my cell #. Thank you.",3/17/2018,en,No,5,0,110
"A positive story the mayor of San Sebastián and the volunteers that restore power to their city. Javier Jimenez was harass by the  AEE even taken to court but he stood up for his city and his people against the corruption of Puerto Rico government agencies. Sad stories Punta Santiago looks today almost exactly as it did the day after Maria. Naguabo still most people don’t have electricity. My mother lives in Naguabo and there have not been much progress I. their city they still have debris. As the time have gone by having to use a generator is becoming too expensive. Now she only use the generator 3-5 hours a day.  The rate of  suicide In the island has increase dramatically. Lot of business are closing and job opportunities are less and less everyday. FEMA assistance is a joke, they have barely done anything in the island.",3/17/2018,en,No,5,0,148
We need a new president.,3/17/2018,en,No,4,0,5
Go to where the citizens really need help the mountains and Yabucoa,3/17/2018,en,No,4,2,12
"Go to Mameyes, Utuado!!! 
Check the traffic lights everywhere in the island, either they are missing or not working. Really dangerous to drive here.",3/17/2018,en,No,4,0,24
Boquerón in Cabo Rojo. Once a busy tourist place is dead. Commerce have taken a big loose there. The center of the island still without help. Outside the San Juan area things are still in need of recovery.,3/17/2018,en,No,4,1,38
"Please let us know the reality of Yabucoa and the other forgoten towns, please it would be good to know what is going on and so people fron the mainland know where is the aid is more urgent, thank youso much for always being there for Puerto Rico and Puertorricans on the island, and informing us ot the realuty of what is going on big THANK YOU,DAVID!",3/17/2018,en,No,4,0,67
"My husband and I went on a last minute trip to Puerto Rico at the end of February beginning of March and went to my husbands town called Florida near Barceloneta and what I took out of that trip was how resilient and positive the people of Puerto Rico are even after all they went through. The one thing I can say that was the worst in some areas is the sewers and how backed up they are so parts of the town smells horrible. I noticed all the car rentals don’t have rims on them because people were trying to steal them right off the car, just be careful and don’t leave important things in your car unattended.",3/17/2018,en,No,4,0,119
"Humacao...Punta Santiago(still no power or water) Yabucoa!  was there 3 weeks ago...destruction every step you take! Also the most resilient people!  San juan doing ok... tourism industry hit hard! Tours, excursions...even the Bio bay!  Please dont let this stop you! the Island may be in transition but its still beautiful...#gotopr",3/17/2018,en,No,4,1,50
"Please, David, expose the corruption in our government, all the millionary contracts in the department of education, the exorbitant salaries like Julia Keleher's ($250,000) the head of the Dept of education, while they keep closing schools left and right because there's no $, but yet they have $ to pay themselves such ridiculous salaries. How can that happen in a country that's supposedly in a financial crisis? The recent 17 million contract to teach values for 5 months! That's insane! Please bring to the light all this corruption. We need a voice! Thank you.",3/17/2018,en,No,4,0,94
"Definitely Vieques! You can go to Isabel Segunda and Esperanza and see how the tourist areas are okay, but go into any of the barrios and easily see that there is still debris on the side of the roads.... see homes still in shambles, untouched....",3/17/2018,en,No,4,0,45
# VIEQUES,3/17/2018,es,No,4,0,2
Thank you. Please go to Vieques. The documentary my team shot is about to be released in May. If you need any help meeting anyone in the community I’m happy to help any way possible.,3/17/2018,en,No,4,5,35
"Wishing you and the team a safe flight to PR, I know you and your team will do a superb job in covering the 6 month anniversary of hurricane Maria with the same commitment, tenacity, and caring that I have come to know of your reports.....in my opinion, I think you should start with municipalities in the central part of the island, since it’s mountainous terrain has made the recovery process, long, slow and difficult for so many of my Puerto Rican’s brothers and sisters, many of whom are still without basics like electricity, clean running water and many of their roads and bridges still impassible.",3/17/2018,en,No,4,0,106
"Hi David and team, a few people have recommended us in Mariana Humacao. We are a hilltop community between Yabucoa and Humacao where we are practicing community self-governance and building long term resilience despite not having electricity and having very inconsistent water service. Ours is the story of people building self-efficacy in how we relate to aid by engaging in reciprocal exchanges among residents to help each other rebuild. @ARECMA is the community non-profit and Proyecto apoyo mutuo Mariana is the initiative. FEMA has been denying a lot of cases in our community and we don’t expect power before the next hurricane season so we are working on a community preparedness plan and not waiting for government to tell us how to survive a massive disaster like Maria.",3/17/2018,en,No,4,0,128
"Yabucoa was the first municipality to get hit by hurricane María and is still to this day in one of the worst conditions. I’m from Ponce, and luckily for us, we are a big municipality in the island and to be one of the first to stand up in its majority even though there are still areas where there is no electricity. Ponce stood up fast, because it’s people stood up fast and helped with the recovery. David, i expect great journalism from you because thanks to you, my family in the states got a real update from what was really happening, and as soon as I got a bit of internet you were the one to bring me up to date on the real situation on the island while most of it was still with no electricity. Thank you.",3/17/2018,en,No,4,0,140
Go to Utuado please.,3/17/2018,en,No,3,0,4
"My mother live in utuado,rio abajo,they dont have no electricity or seen nobody from the company around",3/17/2018,en,No,3,1,17
Yabucoa and Humacao our family’s still are with out power!,3/17/2018,en,No,3,1,10
"Hi David, large part of Yabucoa still without power. People of Yabucoa have received little help from the authorities.",3/17/2018,en,No,3,0,19
"EAST SIDE---- Humacao, Yabucoa, Vieques island.",3/17/2018,en,No,3,0,6
"questions about the privatization of EVERYTHING. Pls talk to these people about AEE and schools. Karilin Salas, Mercedes Martinez, Manuel Natal Albelo,",3/17/2018,en,No,3,0,22
"My family still has now power, no running water, no drinkable water, forgotten in the mountains of Orocovis.",3/17/2018,en,No,3,4,18
"The community  garden in santurce, and the influx of new biz after the insurance money started to trickle in. Lots of young PR entrepreneurs starting up on ponce de leon.",3/17/2018,en,No,3,0,30
David you should absolutely speak with my father Ivan Usero Perez. He is a geotechnical engineer who has owned his firm for 30 years. Very well respected he is working on several rebuilding projects on the island. He can tell you first hand what’s working and what isn’t. If you need his information please msg me privately. My sister Adriana Usero works at The Washington Post and could also help.,3/17/2018,en,No,3,0,70
There are areas in Humacao that still do not have electricity and sometimes no WATER! My husband was there for about 10 days with his parents and 4 of those days were with no running water.,3/17/2018,en,No,3,2,36
"Was just there last week and drove the southeastern and northwestern coasts. The southeastern coast still needs water and power. The northwestern appears to be in decent shape. Agree the metro areas are almost normal. Please concentrate on the rural & central towns. And find out who is helping them with water, food and power. When I asked, the response was the churches.",3/17/2018,en,No,3,0,63
Come to Vieques and see the difference between here and the big island. Please!!!,3/17/2018,en,No,3,0,14
Please check the sick and the eldery on the mountains,3/17/2018,en,No,3,0,10
"David, please try to get here to Rincon on the west coast where tourism is returning to the best surfing spot Can you make it in the evening of that day (if you are only going to do one day) to The Tamboo, rated one of the best beach bars in the Caribbean by Trip Advisor.",3/17/2018,en,No,3,2,56
Can you find out what happened to the money that was donated to Puerto Rico?,3/17/2018,en,No,3,0,15
"Go to Orocovis, where 95% of the neighborhoods/town or more still have no power!",3/17/2018,en,No,3,0,14
"Thank you David for continuing covering the recovery of Puerto Rico
The center of the island ,were there has been hardly any help if any",3/17/2018,en,No,3,0,24
"Puerto Rico is eternally grateful for your honest investigative reporting- not just reporting things but truly looking into what is going on. With such limited time it will be imperative that you research prior to your arrival. Many of us that have and still are aiding Puerto Rico follow you to also get information on places that have escaped our knowledge. There are still some groups who would like and can assist financially and physically, I ask that when you look into these places of need that you create a list of them, and contact info. My non profit CoquiNation.com has some funds and would like to get it to a place that it is needed. Ideally, a business or potential business that we can help get back on its feet and employ Puerto Ricans. 
Thank you for your continued efforts.",3/17/2018,en,No,3,0,141
Thank you David for not forgetting about Puerto Rico. God bless you and your team. Please visit San Lorenzo and report on the people there. It is a small Pueblo in Caguas.,3/17/2018,en,No,3,3,32
David; I admire what you are doing keeping Puerto Rico out there; it’s a good thing. Much has been done; more needs to be done but PR was a mess before and will continue to be so until the people of Puerto Rico make a change. Towns like ours have dispatched police and utility folk to PR and we have heard plenty and it’s not great. All the US’s resources and money won’t make PR better until the fundamentals are fixed.,3/17/2018,en,No,3,0,81
Western part of the island.  Moca the roads are still being worked on they are crawling on these jobs. We hardly ever have water and there is still debris to pick up. We will see the blue tarps and the living conditions of some people.,3/17/2018,en,No,3,0,45
Exactly! What happened to all the millions of dollars donated from movie Stars and corporations? Please check that!,3/17/2018,en,No,3,1,18
Thank you David for keeping Puerto Rico ���� in plain sight. I have family in Adjuntas. Many poor families with minimal support. I heard the mayor was playing the politician and keeping supplies away from the residents from FEMA.  So much corruption on my island.  Don’t trust the Governor. Observations from islanders. Thanks for all you do.,3/17/2018,en,No,3,1,57
"I just got back a week ago and feel grateful to the people that are doing their best to restore power. They are doing a good job. At the same time, it is heartbreaking to see communities without power or running water yet. Go to Utuado, Las Palmas or Paso Palmas. Go to Guaynabo, Bo. Guaraguao. 
Please report on the Department of Housing new mission, Tu Hogar Renace, it wasn't evolving like it was meant to when I was there. I saw people in need, specially elders. Saw people not getting the help needed because their house was part of an inheritance and no tittle to their name was available. The middle and rich class is back to normal, but the poor and elders are not. The downtown of each town is back to normal, please try to go deep in each town. About the traffic lights, yes, the majority is not working and poses a safety issue to the citizens. I talked to some home owners that cannot get the materials to rebuild their houses, the Government has 1st priority and not enough construction materials are getting there for people to rebuild. Houses are rotting without a roof. Meet some other people that decided to demolish their house and living with friends or family members.",3/17/2018,en,No,3,0,216
Please visit Centro MAM to see the important work women are doing to support mothers and children! https://news.vice.com/en_us/article/j5dd74/delivering-babies-and-saving-lives-in-puerto-rico-after-maria,3/17/2018,en,Yes,3,0,18
Barrio Mariana in Humacao,3/17/2018,es,No,3,0,4
"Aguas Buenas . Barrio Juan Asencio, 2860 personas sin luz,50 personas encamadas,2 escuelas que no pueden dar servicio todo el dia. Mucho sectores sin agua.  Ayuda por favor.",3/17/2018,es,No,3,0,28
"Go to the towns  in the center of the island,  utuado, adjuntas,ciales,morovis, but not the center go to the ""barrios""  in this towns.  Find out why FEMA denied  their claims, etc.
Thank you for your commitment with the people of Puerto Rico.",3/17/2018,en,No,3,0,41
"Rather than pack in as much a you possibly can in 36 hours, a more comprehensive and thoughtful approach might be to revisit big & small stories that you’ve already filed. You have so many great bits of access and footage, follow up on them I say and let’s see where the island is today. What promises have been kept?, where is there progress? Who hasn’t kept their word, or delivered on their promises?",3/17/2018,en,No,3,0,74
"Third Wave volunteers have delivered thousands of solar lights to remote areas of Puerto Rico the cities are coming alive again with electricity but there’s so many pockets of suburbs and mountain areas in the dark we deliver every light door-to-door give them a big hug of love and say that we care we want forget  them -last week we lit up areas of Maricoa - Orocovis, Cialis barranquitas and even in Loiza handing out more solar lights and we still have a long way to go- these lights not only help now but are proactive for the upcoming season we won’t stop lighting up Puerto Rico! Go to remote maricao Orocovis barranquitas Juyuja adjuntas yauco guyernilla and ponce far mountain areas ( not lower towns) . Love Alison - founder of Third Wave volunteers photos of lights below",3/17/2018,en,No,3,2,139
Utuado,3/17/2018,pt,No,2,0,1
"If you have a chance, go to Caribe Gardens in Caguas, there are alot of elderly living there and as of this moment, NO power. Thanks",3/17/2018,en,No,2,0,26
